"gene","panel"
"Cyth4","Up"
"Rassf4","Mixed"
"Uba7","Mixed"
"Ube2l6","Mixed"
"Dock2","Mixed"
"Dock8","Mixed"
"Gngt2","Mixed"
"Rac2","Mixed"
"Adssl1","Mixed"
"Gbp3","Mixed"
"Hk2","Up"
"Trim5","Mixed"
"Gbp2","Mixed"
"Ube2c","Down"
"Arhgef37","Mixed"
"Gng11","Down"
"Gucy2f","Down"
"Acsm5","Up"
"Enpp3","Down"
"Adcy7","Mixed"
"Arf5","Mixed"
"Mlph","Up"
"Oas3","Mixed"
"March4","Mixed"
"Dock1","Mixed"
"Gbp6","Mixed"
"Hk3","Up"
"Pde2a","Down"
"Pon3","Mixed"
"Rapgefl1","Up"
"Kras","Mixed"
"Cda","Up"
"Pde6h","Mixed"
"Pygl","Mixed"
"Arhgdib","Mixed"
"Gimap4","Mixed"
"Tuba1c","Mixed"
"Ahcyl2","Mixed"
"Rasgrp1","Mixed"
"Rem2","Down"
"Rin1","Mixed"
"Trim25","Mixed"
"Pde1c","Up"
"Pde5a","Up"
"Gch1","Down"
"Gnb3","Mixed"
"Eef1a2","Mixed"
"Upp1","Up"
"Sytl1","Mixed"
"Rhou","Up"
"Fpgt","Down"
"Gng8","Mixed"
"Acsl4","Down"
"Gng12","Mixed"
"Diras1","Mixed"
"Ipo7","Mixed"
"Kpna1","Mixed"
"Tppp","Mixed"
"Rgl3","Up"
"Prex1","Mixed"
"Npr1","Up"
"Ect2l","Down"
"Gbp4","Mixed"
"Gimap8","Down"
"Rp2","Mixed"
"Pde3a","Mixed"
"Pde11a","Up"
"Gucy2c","Mixed"
"Ak7","Up"
"Gem","Down"
"Nt5c1a","Mixed"
"Ccnb1ip1","Up"
"Pde3b","Mixed"
"Znrf2","Mixed"
"Gnb2","Up"
"Ralgps1","Mixed"
"Gnptab","Down"
"Uprt","Down"
"Gng4","Down"
"Psd4","Mixed"
"Acsm4","Down"
"Ak8","Down"
"Rhod","Mixed"
"Gna14","Down"
"Gngt1","Down"
"Entpd4","Up"
"Plekhg6","Down"
