"module","cluster"
"M-1","1"
"M-105","2"
"M-111","2"
"M-112","1"
"M-122","1"
"M-125","1"
"M-133","1"
"M-134","1"
"M-135","1"
"M-136","2"
"M-138","1"
"M-139","1"
"M-140","1"
"M-141","2"
"M-142","2"
"M-143","1"
"M-144","2"
"M-145","1"
"M-146","2"
"M-148","1"
"M-149","3"
"M-150","3"
"M-151","2"
"M-152","2"
"M-153","3"
"M-155","1"
"M-156","1"
"M-158","3"
"M-159","1"
"M-160","1"
"M-161","1"
"M-162","1"
"M-164","3"
"M-165","2"
"M-166","1"
"M-167","1"
"M-168","1"
"M-169","2"
"M-170","2"
"M-171","1"
"M-21","1"
"M-30","1"
"M-33","3"
"M-34","1"
"M-35","3"
"M-38","1"
"M-39","2"
"M-42","2"
"M-43","2"
"M-45","1"
"M-53","2"
"M-54","2"
"M-60","1"
"M-61","2"
"M-66","3"
