"gene_symbol","n_clusters","cluster_membership"
"Acsbg1",1,"3"
"Acsbg2",1,"3"
"Acsl1",1,"3"
"Acsl3",1,"3"
"Acsl4",1,"3"
"Acsl5",1,"3"
"Acsl6",1,"3"
"Ada",1,"1"
"Adk",1,"2"
"Adpgk",1,"1"
"Adsl",2,"2;3"
"Ahcy",1,"1"
"Ahcyl1",1,"1"
"Ahcyl2",1,"1"
"Ak1",2,"2;3"
"Ak2",2,"2;3"
"Ak3",1,"3"
"Ak4",2,"2;3"
"Ak5",2,"2;3"
"Ak7",2,"2;3"
"Ak8",2,"2;3"
"Aldh7a1",2,"1;2"
"Aprt",1,"2"
"Asns",1,"2"
"Atic",1,"3"
"B4galt1",2,"1;3"
"Cant1",1,"3"
"Cmpk1",2,"1;3"
"Cmpk2",2,"1;3"
"Dck",1,"2"
"Dctpp1",1,"3"
"Dnmt1",1,"1"
"Dnmt3a",1,"1"
"Dnmt3b",1,"1"
"Entpd1",2,"1;3"
"Entpd3",2,"1;3"
"Entpd4",1,"3"
"Entpd5",1,"3"
"Entpd6",1,"3"
"Entpd8",2,"1;3"
"Gmps",1,"2"
"Gne",1,"2"
"Hprt1",2,"1;2"
"Nme1",3,"1;2;3"
"Nme2",3,"1;2;3"
"Nme3",3,"1;2;3"
"Nme4",3,"1;2;3"
"Nme5",3,"1;2;3"
"Nme6",3,"1;2;3"
"Nme7",3,"1;2;3"
"Nt5c",3,"1;2;3"
"Nt5c1a",3,"1;2;3"
"Nt5c1b",3,"1;2;3"
"Nt5c2",3,"1;2;3"
"Nt5c3",3,"1;2;3"
"Nt5e",3,"1;2;3"
"Nt5m",3,"1;2;3"
"Nudt2",1,"2"
"Nudt5",2,"2;3"
"Pnp",2,"1;2"
"Rnf2",2,"2;3"
"Slc27a2",1,"3"
"Slc27a5",1,"2"
"Uck1",2,"1;2"
"Uck2",2,"1;2"
"Uckl1",2,"1;2"
"Upp1",1,"2"
"Upp2",1,"2"
"Uprt",1,"2"
