"cluster","age","mean_expression","sd_expression","n","se_expression","age_label"
1,"mid",0.0108564809261052,0.0119545798371327,7,0.00451840646818858,"18M"
1,"old",0.0150684925973777,0.0172723778238722,7,0.00652834518181611,"21M"
1,"young",0.0111161831319441,0.0140081481645137,7,0.00529458233883558,"6M"
2,"mid",0.00804053534120703,0.0172312448545011,14,0.00460524389951104,"18M"
2,"old",0.00615472382931674,0.0128069160796419,14,0.00342279229651329,"21M"
2,"young",0.00784934650082039,0.0164108640215222,14,0.00438598789924795,"6M"
3,"mid",0.000486487259544918,0.00140277241352027,8,0.000495954943030801,"18M"
3,"old",0.000483680393798358,0.00139630493474108,8,0.00049366834397983,"21M"
3,"young",0.000537097371103181,0.00153435844069507,8,0.00054247762909315,"6M"
