"gene_symbol","3M","12M","15M","18M","21M","26M","28M"
"Ada",5.14841283887654,2.76555417762622,4.15625879084854,3.22290417949925,2.9486695888138,3.50302795516335,2.59904959155479
"Adpgk",300.681858934087,305.265878461308,305.596032547488,295.84774655377,288.899911389444,306.113175123333,294.603022789357
"Ahcy",190.108987365934,183.392868288316,188.887528330645,180.1704821575,193.006744014133,191.822953315942,197.587166088684
"Ahcyl1",2664.65599558288,2897.84364599374,2759.7111788478,2653.42137585815,2634.44073602308,2831.32265953332,2725.89207035537
"Ahcyl2",683.693659136992,793.272685318648,694.543251034399,679.478804759511,685.916199540275,752.600064290225,675.210430513616
"Aldh7a1",464.478369624972,458.794703981194,443.846794660826,433.480588456597,455.979273476855,457.110321301984,419.437110446271
"B4galt1",20.2670664505966,15.8628867284727,16.6131468719823,18.9586810541856,20.8941139645015,13.6624564175008,17.4899123351704
"Cmpk1",1008.43333816475,1013.38926945831,951.61690638993,932.750340778869,935.948815522706,1007.23579708712,1011.95881396826
"Cmpk2",197.902405091369,227.784712809882,193.643553815404,195.464884289872,200.267407149532,216.431153903402,181.982964278836
"Dnmt1",227.24021933377,221.09706981861,227.212858608674,226.97119972985,229.500940993597,205.006032414306,236.661253184471
"Dnmt3a",565.091203106656,518.433041346515,539.967266061431,536.165972810503,532.249327522887,497.823747497619,519.373418428327
"Dnmt3b",3.51713677521161,3.08142425750657,3.00729619288732,5.61275153695271,4.23653480251991,4.03178693746029,4.00699254554984
"Entpd1",59.377802682366,62.2155887635579,57.2772178110952,63.047850840605,68.6971967913504,63.8595060644247,52.7903512186928
"Entpd3",77.5670380309519,85.9423670296341,79.2023439277244,70.6842157152149,80.2030289169699,85.8139620882347,84.8089017026336
"Entpd8",0,0,0,0,0.0939013591567864,0,0
"Nme1",1712.16930251034,1719.37398197774,1678.45748621061,1683.17602290052,1702.06403651668,1735.0659496088,1771.43289368119
"Nme2",553.256628867287,553.547750720424,543.392721187272,558.241686211884,529.643575303684,551.983607972238,560.881631002524
"Nme3",170.019489540512,138.744073509616,157.224967470947,154.802956069654,146.884993075086,143.1678983348,153.366198192533
"Nme4",12.6023088896641,12.5495878652376,13.8864933835284,13.3061369363483,14.9593674889812,11.4710447820732,11.7064759625893
"Nme5",64.1053861750633,43.449839040996,59.1387839138471,78.0412164774658,72.8333856181055,46.1414462115992,60.2410972403832
"Nme6",47.3299993582978,42.2417827384823,45.1067275309054,43.9062921781791,45.9275060651862,46.0971364100434,43.19904473721
"Nme7",3147.58248209866,3565.62262875448,3194.220465262,3042.76288732166,3099.46588767568,3665.81792305291,3142.78220782703
"Nt5c",228.546523631503,208.042372380529,229.984499602299,225.127954484664,228.240540889989,211.500488235026,242.583731474304
"Nt5c1a",5.10395089720942,6.25385610663461,8.12199378954221,7.78935920133322,5.34615759384597,7.04798383944104,6.82912351303027
"Nt5c1b",0.0992623472343952,0.079048435270545,0.0549793777079391,0.0405038102158641,0.0496658603357699,0,0
"Nt5c2",706.253640651093,746.580033762948,756.304049654724,722.482614318589,732.902608262045,776.437208587634,750.185470961506
"Nt5c3",447.146316871479,459.052361551265,443.302773929909,437.935285623403,433.982498193394,463.88485999199,436.618755773356
"Nt5e",22.5099748018177,29.1926089157196,22.4249632644866,25.2844739777526,25.8871167944734,28.1201171652058,20.4971422792418
"Nt5m",431.935119156883,470.573861889155,449.260238717107,427.856324726185,425.270085614231,491.468239892478,448.961626317042
"Pnp",103.671032900912,97.0580174629376,108.914217456683,110.54740202478,107.442083425834,99.2350546345334,119.352600402011
"Uck1",246.222729184206,203.985466875468,235.979710086738,250.36395804196,247.906531551001,225.563679236307,240.421337935187
"Uck2",131.900086339022,124.735893147836,138.003862668017,127.125937277053,125.356001664787,128.691934206307,123.722145020546
"Uckl1",221.541427957383,213.058746723738,219.96564260802,229.146676679031,237.66792818826,218.980112108826,233.221751428237
