"age","entropy","type","age_numeric","region","cluster"
"6M",0.0371440165909204,"Flux",6,"Thalamus",3
"18M",0.049441805875773,"Flux",18,"Thalamus",3
"21M",0.0519106456773369,"Flux",21,"Thalamus",3
"3M",0.781851844876291,"Gene",3,"Thalamus",3
"12M",0.776448466207794,"Gene",12,"Thalamus",3
"15M",0.783688056094736,"Gene",15,"Thalamus",3
"18M",0.788699184769426,"Gene",18,"Thalamus",3
"21M",0.787116670709211,"Gene",21,"Thalamus",3
"26M",0.779122359919901,"Gene",26,"Thalamus",3
"28M",0.789354831754547,"Gene",28,"Thalamus",3
"6M",0.414874239306652,"Metabolite",6,"Thalamus",3
"15M",0.410887367659899,"Metabolite",15,"Thalamus",3
"21M",0.327328393569205,"Metabolite",21,"Thalamus",3
